,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,context_annotations,created_at,id,public_metrics,tweet text,# likes,# retweets,# replies,# quotes,links,# Reactions,Countries from text,Link Text,Final Countries,Income Level
2236,2236,2236,2236,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '857083369514876928', 'name': 'Weather', 'description': 'Weather'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-28 17:26:09+00:00,1.38E+18,"{'retweet_count': 159, 'reply_count': 71, 'like_count': 534, 'quote_count': 12}","At least two people in the Nashville, Tennessee, area are dead after severe weather caused flash flooding late Saturday into early Sunday, police say",534,159,71,12,https://t.co/D9YsgYGOws,776,"['Nashville', 'Tennessee']",,['United States'],[]
2237,2237,2237,2237,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '871795678447456256', 'name': 'The White House', 'description': 'Conversation from and about the White House, both as a destination and as political voice'}}]",2021-03-28 15:22:31+00:00,1.38E+18,"{'retweet_count': 313, 'reply_count': 674, 'like_count': 1464, 'quote_count': 95}","Trump White House coronavirus task force member Dr. Deborah Birx recalls a ""very uncomfortable"" phone call with the former President after she spoke about Covid's spread",1464,313,674,95,https://t.co/AwEfTbM924,2546,[],,['United States'],[]
2238,2238,2238,2238,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-28 12:08:24+00:00,1.38E+18,"{'retweet_count': 300, 'reply_count': 157, 'like_count': 909, 'quote_count': 40}",Top UN officials condemn Myanmar's junta a day after at least 114 people were killed during demonstrations against the military coup that overthrew the country's elected government,909,300,157,40,https://t.co/1t6TWQYeH9,1406,['Myanmar'],,['Myanmar'],[]
2239,2239,2239,2239,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '915567930535960577', 'name': 'Mick Mulvaney', 'description': 'Mick Mulvaney'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1266467007987253248', 'name': 'George Floyd'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': 'US President Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '915567930535960577', 'name': 'Mick Mulvaney', 'description': 'Mick Mulvaney'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-28 00:20:15+00:00,1.38E+18,"{'retweet_count': 275, 'reply_count': 245, 'like_count': 1242, 'quote_count': 47}",Trump's former chief of staff Mick Mulvaney calls his former boss' Capitol riot claims 'manifestly false' ,1242,275,245,47,https://t.co/Z503CIUK8j,1809,[],,['Myanmar'],[]
2240,2240,2240,2240,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-27 20:14:01+00:00,1.38E+18,"{'retweet_count': 129, 'reply_count': 71, 'like_count': 439, 'quote_count': 14}","A tornado watch has been issued until 10 p.m. ET for portions of Alabama, Arkansas, Mississippi and Tennessee, just days after parts of the South were hit by tornadoes",439,129,71,14,https://t.co/G29VPnTWkE,653,"['Alabama', 'Arkansas', 'Mississippi', 'Tennessee']",,['United States'],[]
2241,2241,2241,2241,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-27 17:12:06+00:00,1.38E+18,"{'retweet_count': 239, 'reply_count': 90, 'like_count': 473, 'quote_count': 33}","Dozens of people are unaccounted for and thousands have fled a town in northern Mozambique after an attack by Islamist insurgents, according to human rights groups",473,239,90,33,https://t.co/qXSZxoPYKX,835,[],,['United States'],[]
2242,2242,2242,2242,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-27 16:46:27+00:00,1.38E+18,"{'retweet_count': 333, 'reply_count': 97, 'like_count': 630, 'quote_count': 42}","At least 91 people were killed across Myanmar, according to independent Myanmar Now news outlet, as the military junta continues to crack down on peaceful protests",630,333,97,42,https://t.co/CjO4xa1fJz,1102,['Myanmar'],,['Myanmar'],[]
2243,2243,2243,2243,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-27 16:29:01+00:00,1.38E+18,"{'retweet_count': 190, 'reply_count': 124, 'like_count': 839, 'quote_count': 40}",Efforts to dislodge the container ship stuck in the Suez Canal are underway as the backlog of ships grows ,839,190,124,40,https://t.co/MVoDK2rGrx,1193,[],,['Myanmar'],[]
2244,2244,2244,2244,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-27 07:33:44+00:00,1.38E+18,"{'retweet_count': 388, 'reply_count': 234, 'like_count': 775, 'quote_count': 106}",Two people were killed and at least eight injured in Virginia Beach shooting incidents ,775,388,234,106,https://t.co/uv5kkg53UK,1503,['Virginia Beach'],,['United States'],[]
2245,2245,2245,2245,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-27 05:43:28+00:00,1.38E+18,"{'retweet_count': 2127, 'reply_count': 891, 'like_count': 3440, 'quote_count': 1221}",Several people reported shot in Virginia Beach ,3440,2127,891,1221,https://t.co/Mm9DbT1jJL,7679,['Virginia Beach'],,['United States'],[]
2246,2246,2246,2246,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-27 01:27:31+00:00,1.38E+18,"{'retweet_count': 215, 'reply_count': 115, 'like_count': 1344, 'quote_count': 35}",A Kansas man has been arrested and charged with murder in the death of a woman who was sexually assaulted and killed in 1979 in Colorado,1344,215,115,35,https://t.co/N1qXatQ3jz,1709,"['Kansas', 'Colorado']",,['United States'],[]
2247,2247,2247,2247,,2021-03-26 23:47:34+00:00,1.38E+18,"{'retweet_count': 258, 'reply_count': 629, 'like_count': 2104, 'quote_count': 241}",Tennessee passes a transgender sports bill requiring students to prove their sex at birth in order to play in middle and high school sports,2104,258,629,241,https://t.co/pHkYqYJEcz,3232,['Tennessee'],,['United States'],[]
2248,2248,2248,2248,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-26 23:34:55+00:00,1.38E+18,"{'retweet_count': 449, 'reply_count': 102, 'like_count': 2451, 'quote_count': 190}","Beloved children's book author Beverly Cleary, who created Beezus and Ramona Quimby and numerous other characters, has died. She was 104.",2451,449,102,190,https://t.co/YsmAoWfpA4,3192,[],,['United States'],[]
2249,2249,2249,2249,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-26 19:10:43+00:00,1.38E+18,"{'retweet_count': 476, 'reply_count': 373, 'like_count': 3891, 'quote_count': 54}","Jacob Blake, the 29-year-old Black man who was shot seven times by a White police officer in Kenosha, Wisconsin, has sued the officer for excessive force in federal court, records show",3891,476,373,54,https://t.co/DjvIM11XdH,4794,"['Kenosha', 'Wisconsin']",,['United States'],[]
2250,2250,2250,2250,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '10040395078', 'name': 'Joe Biden', 'description': 'US President Joe Biden'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-26 18:58:47+00:00,1.38E+18,"{'retweet_count': 637, 'reply_count': 446, 'like_count': 4885, 'quote_count': 44}","President Biden calls the voting law passed yesterday in Georgia a ""blatant attack on the Constitution""",4885,637,446,44,https://t.co/6INO9ckhU3,6012,['Georgia'],,['Georgia'],[]
2251,2251,2251,2251,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '940705992290975744', 'name': 'Nancy Pelosi', 'description': 'US House of Representatives Minority Leader Nancy Pelosi (CA-12)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '940705992290975744', 'name': 'Nancy Pelosi', 'description': 'US House of Representatives Minority Leader Nancy Pelosi (CA-12)'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-26 18:08:42+00:00,1.38E+18,"{'retweet_count': 364, 'reply_count': 93, 'like_count': 1955, 'quote_count': 10}","Speaker Nancy Pelosi appoints the first Black House sergeant-at-arms, DC National Guard Major Gen. William J. Walker",1955,364,93,10,https://t.co/OPZP1vEaJc,2422,[],,['Georgia'],[]
2252,2252,2252,2252,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-26 13:07:14+00:00,1.38E+18,"{'retweet_count': 218, 'reply_count': 74, 'like_count': 505, 'quote_count': 37}",At least 32 people are dead and 66 injured after trains collide in Egypt,505,218,74,37,https://t.co/81yQ0fH9cs,834,['Egypt'],,['Egypt'],[]
2253,2253,2253,2253,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596157181956', 'name': 'Online Site'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597105094656', 'name': 'TV/Movies Related'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1065657279150665728', 'name': 'Fox News', 'description': 'Fox News'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-26 12:56:02+00:00,1.38E+18,"{'retweet_count': 399, 'reply_count': 249, 'like_count': 3343, 'quote_count': 87}","Voting technology company Dominion files a $1.6 billion lawsuit against Fox News, claiming ""many lies"" in the 2020 election",3343,399,249,87,https://t.co/TgA9uazsGI,4078,[],,['Egypt'],[]
2254,2254,2254,2254,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596740190208', 'name': 'CPG'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752773120', 'name': 'Pharma'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043154690', 'name': 'Eli Lilly and Company'}}]",2021-03-26 04:04:52+00:00,1.38E+18,"{'retweet_count': 192, 'reply_count': 69, 'like_count': 375, 'quote_count': 22}",US government stops distribution of Eli Lilly Covid-19 antibody treatment due to spread of coronavirus variants,375,192,69,22,https://t.co/1NyUmYUTAr,658,['US'],,['United States'],[]
2255,2255,2255,2255,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '852219717016141824', 'name': 'College life', 'description': 'College Life'}}]",2021-03-26 01:19:51+00:00,1.38E+18,"{'retweet_count': 203, 'reply_count': 113, 'like_count': 540, 'quote_count': 43}",The University of Southern California will pay a record-setting $1.1 billion to settle scores of lawsuits over the sexual abuse allegations against former campus gynecologist Dr. George Tyndall,540,203,113,43,https://t.co/qmBLMmzBH0,899,[],,[''],[]
2256,2256,2256,2256,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10040667043', 'name': 'CNN'}}]",2021-03-26 00:52:59+00:00,1.38E+18,"{'retweet_count': 349, 'reply_count': 101, 'like_count': 810, 'quote_count': 55}",The number of people reported dead in the aftermath of winter storms that pummeled Texas in February now stands at 111,810,349,101,55,https://t.co/EP36IVRuM4,1315,['Texas'],,['United States'],[]
